Ohringen,Bad.Lippspringe,Eberbach.Neckar,Ebersberg.Halbing,Ebrach,Eichstatt.Landershofen,Miltenberg,Ellwangen.Rindelbach,Eppingen,Mohrendorf.Kleinseebach,Eutin,Geisenheim,Gilserberg.Moischeid,Gluckstadt,Gossweinstein,Hechingen,Weddingstedt,Kr.Dithmarschen.Helse,Niederworresbach,Hildesheim,Hollenstein.Kraftwerk,Konigsmoor,Kronach,Bad.Lauchstadt,Lensahn,Lingen,Luchow,Heinersreuth.Vollhof,Mayen,Melle
59,93,112,52,96,8,106,57,51,80,125,11,16,28,102,0,108,145,38,62,37,155,97,18,108,170,58,50,33,80
24,48,25,50,0,31,15,23,20,18,6,28,31,137,0,86,4,21,47,7,23,25,5,2,1,88,78,0,15,25
66,151,133,113,90,40,106,36,70,25,68,68,112,82,94,37,7,17,151,0,61,0,132,10,74,55,0,86,0,80
24,0,30,35,11,38,12,52,21,8,28,1,52,0,0,59,1,1,10,97,5,0,8,3,46,5,17,1,89,0
0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,98,10,2,0,0,0,0,0,0,28,0,0,0,0,0
12,0,0,57,0,0,0,18,27,0,20,0,0,34,0,80,51,40,12,9,0,0,0,3,65,0,0,0,0,0
0,0,0,36,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,24,0,0,6,0,52,11,0,0,0,0,0,0,0,22,0,20,0,0,11
11,0,0,21,0,17,0,33,19,2,4,0,0,3,0,66,0,0,0,5,15,0,0,0,20,0,0,0,0,0
43,0,15,31,1,58,8,79,64,28,8,0,0,0,0,36,4,0,20,0,10,0,0,0,15,0,20,0,0,0
6,0,0,17,0,27,0,9,0,2,74,0,0,0,0,50,52,37,0,0,27,7,0,0,108,0,7,0,0,3
1,0,0,9,0,62,0,4,0,0,9,0,0,0,0,0,4,0,0,0,45,0,0,3,5,13,4,0,0,0
51,11,32,96,35,66,41,87,51,90,2,0,0,0,94,87,1,0,0,3,72,1,72,7,0,22,0,56,0,11
1,55,0,7,21,15,0,22,0,2,9,2,16,6,14,0,9,2,2,31,0,90,47,1,6,7,74,34,5,0
0,30,1,0,0,1,0,4,0,1,1,0,1,3,3,0,15,5,0,13,1,2,0,0,0,17,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
