0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
7,0,6,95,0,0,3,1,11,0,2,7,0,0,0,0,4,5,0,0,8,0,0,0,0,10,0,3,5,1,
0,0,0,6,0,0,0,5,0,0,2,2,0,0,0,0,3,0,0,0,0,3,0,0,0,58,0,0,0,45,
0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,
0,30,0,0,0,0,0,0,1,0,8,5,37,30,0,0,40,40,9,10,0,22,0,7,0,41,25,0,0,35,
0,0,1,0,0,0,1,0,0,0,27,5,0,11,0,0,5,0,0,0,0,4,0,0,43,5,0,0,0,0,
0,16,19,0,22,0,0,0,5,3,3,7,0,30,0,0,27,0,15,18,0,26,23,15,0,3,21,6,0,2,
0,24,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,5,
10,0,28,0,12,0,47,1,28,0,14,28,84,6,0,0,4,0,23,1,0,10,5,3,8,0,18,0,24,21,
61,36,112,17,117,55,75,60,96,72,32,49,21,12,98,52,6,13,37,28,59,55,106,14,33,0,62,60,20,36,
1,0,6,0,0,0,9,0,9,0,2,1,0,6,0,0,7,5,4,0,7,7,0,1,0,19,0,0,0,0,
8,20,5,25,4,2,13,7,10,8,20,1,0,36,6,2,65,42,13,29,22,51,0,0,12,14,29,2,0,30,
6,25,12,8,0,26,9,8,5,0,41,0,53,18,10,0,35,39,0,25,14,46,0,6,18,4,4,5,0,12,
83,120,75,41,62,28,41,59,85,42,49,47,11,54,14,35,64,34,38,40,45,34,74,41,96,24,69,36,0,19,
83,110,72,98,114,112,45,92,60,117,26,6,2,20,140,27,17,16,13,0,103,14,82,67,0,35,58,110,29,8,
0,0,0,17,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,15,0,0,1,0,7,0,0,0,0,
11,78,0,4,6,3,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,16,0,0,0,2,0,1,0,22,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
